category,topic
MIDDLE I,
ON TO GRAD SCHOOL,
I'M WITH HER,
"""S.A."" TEST",
LEONARDO DiCAPRIO MOVIES,
ELEMENT-IUM,
ALL ABOOT CANADIAN GEOGRAPHY,
PRESIDENTIAL CAMPAIGN YEARS,
WHAT COUNTRY ARE YOU FROM?,
1960s POP LYRICS,
GERMAN FOOD & DRINK,
"JUST ""ASP"" ME",
"""A"" FOR ART",
PUTTIN' OUT THE WELCOME MUTT,
TEXTURES,
GOVERNMENT & TV,
AN INVENTIVE CATEGORY,
THE NAME ON THE AIRPORT,
SONGS OF THE '50s,
MEDIEVAL FASHION,
WINTER OLYMPIC SITES,
"""ZERO""",
SMALL ISLANDS,
SEPTEMBER,
COLORFUL FOOD,
NAUTICAL TERMS,
BARITONES,
THE 9th CENTURY,
PHOTOGRAPHERS,
FAMOUS ITALIANS,
PORTS & HARBORS,
THE OCCULT,
RECKLESS PHRASES,
SCIENCE HISTORY,
"""BLUE"" MOVIES",
FAMOUS EDITORS,
1980s ROCK MUSIC,
THE U.N.,
FRENCH FILM REMAKES,
SATIRE,
RUSSIAN RULERS,
BRITISH HODGEPODGE,
PERU,
20th CENTURY NAMES,
CHILDREN'S LIT,
MINNESOTANS,
FILMS OF THE '80s,
GOLF,
"""PAR"" FOR THE COURSE",
NARRATORS,
CARD GAMES,
COFFEE,
DIOR,
"""MILK""",
LEWIS CARROLL,
ACCORDING TO HOYLE,
TV FAMILIES,
ABDICATIONS,
U.S. RIVERS,
TRAVEL EUROPE,
TOYS & GAMES,
TV ROBOTS,
"""H""ODGEPODGE",
SUCCESSORS,
THE CLINTON ADMINISTRATION,
ART & THE BIBLE,
STATE,
"OH, THE HORROR!",
"THE ""LONG"" & THE ""SHORT"" OF IT",
GREETINGS,
WHAT'S IN YOUR POCKET?,
LITERARY EDINBURGH,
"""BETA"" TEST",
BLUESY MUSIC,
OIL!,
FAMOUS AMERICAN WOMEN,
DIFFERING BY A VOWEL,
NATIVE AMERICAN PLACE NAMES,
GRAINS,
DECODING THE HITMAKING BAND,
ON THE BALLOT,
PREPOSITION 5,
BIG SCREEN LITERARY ADAPTATIONS,
"""Z"" MEN",
CHRISTMAS CAROLS,
MENSWEAR,
PULITZER COMMENTATORS,
U.S. DEMOGRAPHICS,
THE NATIONAL GALLERY OF ART,
WORLD THEATRE,
U.S. ISLANDS,
CASES & CARRIERS,
1968,
SHAW,
"""OF""",
PIE-POURRI,
ENDS WITH K,
PICK YOUR POISON,
A FALLEN CATEGORY,
THE RUSSIANS ARE COMING! THE RUSSIANS ARE COMING!,
MacARTHUR GENIUS GRANT RECIPIENTS,
WILL SMITH,
WATER-LOVING MAMMALS,
PLAY TIME,
A VIEW FROM THE BRIDGE,
HISTORIC ANNIVERSARIES,
ROCK 'N' ROLL SONGS,
COLORFUL PHRASES,
JEWELRY,
PERSIA,
"STARTS WITH ""F""",
HORSES,
FRENCH FOOD TERMS,
BIBLICAL 1st LINES,
RHYMES WITH A BEATLE'S FIRST NAME,
PUERTO RICAN HISTORY,
JESSICA,
IN THE KING JAMES BIBLE,
MARITIME FLAGS OF CONVENIENCE,
"""E""ASY DOES IT",
VAUDEVILLE,
A LIBERAL LIBRARY,
COMMA SYMPATHIZERS,
TV TITLE PARTNERS,
SIMILAR WORDS,
LIT BITS,
ENTERTAINING OCCUPATIONS,
THE EXPLORERS CLUB,
WHAT'S NOT TO LICHEN?,
"5-""H""",
#NAME?,
BILLBOARD'S ALL-TIME TOP COUNTRY ALBUMS,
"STARTS WITH ""D""",
DOLLS,
PREHISTORIC TIMES,
MOVIE PRINCES,
MARY ELLEN SAYS,
THE SOUTHWEST,
INITIALS,
FAMOUS DOCTORS,
FROM THEIR INAUGURAL ADDRESSES,
STATE THE CITY,
DRINKS FOR EVERYONE!,
GAMBLING ON VEGAS MOVIES,
POWER HITTERS,
FOWL,
DUG OUT,
DOUBLE PLAY,
MILITARY INNOVATIONS,
THE MARVEL UNIVERSE,
BODY PART TITLES,
THIS CATEGORY IS JUST FLUFF,
2016 PRESIDENTIAL MEDAL OF FREEDOM RECIPIENTS,
GET A LYFT WITH UBER,
3 + 3,
THE MARVELOUS UNIVERSE,
SPORTS TROPHIES,
BORDER FRENZY,
"""Q""UIZZICAL",
UNIVERSITIES,
"STARTS & ENDS WITH ""O""",
COINS,
RAGTIME & BLUES,
THE KENNEDY WOMEN,
THE MIDDLE EAST,
CITY QUOTES,
1918,
WRITING EDs,
THE AMERICAN WEST,
VIOLINISTS,
SITCOM CITIES,
CUT IT OUT,
SQUID,
IT'S A TRAP!,
"BRASIL, BRASIL!",
MUSICIANS WHO DIED AT 27,
STATES & LICENSE PLATES,
"""O""POURRI",
CELEBRITY FRAGRANCES,
THE WIDE WORLD OF SPOTS,
WHAT COLOR IS YOUR BUSINESS?,
"FIRST & ""TEN""",
WE'RE GOING LONG,
LITTLE MYTH SUNSHINE,
I AM A CATEGORY,
CLUES ACROSS OHIO,
IN COMMUNICADO,
HISTORIC WORKS' FIRST LINES,
PRESIDENTIAL MUSIC?,
SNEAKER BRANDS,
THE BOOK OF VERBS,
"BILLS, BILLS, BILLS",
IT'S HYPHENATED,
1940s MOVIE QUOTES,
"SOME ""ME"" TIME",
HORSING AROUND,
DERBY,
AND SO IT GOES,
WHAT ARE YOU MADE OF?,
PUNNY KNIGHTS,
PRESIDENTIAL KIDS,
"ART ""C""",
BYE LINES,
GIMME SHELTER,
THIS IS PBS,
1,
2,
3,
4,
5,
6,
FOREIGN HOLIDAYS,
CHIEF JUSTICES,
"AYE, AYE, ADMIRAL",
ALFALFA,
NAME'S EXACTLY THE SAME,
A MATTER OF FAITH,
SUPERHERO TV SUPPORTING CHARACTERS,
"IT'S ""DA"" END",
ANATOMICALLY CORRECT,
HALL OF FAMERS BY SPORT,
PARTS OF THE WHOLE,
"THE ""A.P.""",
ALSO FOUND IN THE CLASSROOM,
THE EASTERN HEMISPHERE,
PROVIDE US THE LATIN ABBREVIATION,
SINGERS WHO ACT,
"PIRATES' FAVORITE AUTHORS--""R""!",
A YEAR OF FIRSTS,
GENIUS.,
EDUCATIONAL FILMS,
FOREIGN GEOGRAPHIC TERMS,
SMALL ENOUGH TO FIT,
ON A POSTAGE STAMP,
PEOPLE ON THE PAGE,
INCLUDED & EXCLUDED,
16-Dec,
"""FIELD"" TRIP",
I'M GOING TO HAVE TO CONFISCATE THAT,
FAMOUS TEACHERS,
LITERARY INSTRUCTION,
SAVING UP,
THE PREZ SEZ,
TYPES OF STREETS,
TV DINNERS,
ARCHIPELAGO-GO,
SIGNS & SYMBOLS,
RHYMES WITH DUCK,
FRIENDS OF DOROTHY,
20th CENTURY BOOKS,
STRANGER THINGS,
ELEMENTARY,
THE CROWN,
ONCE UPON A TIME,
"THIS IS ""US""",
CASTRO'S CUBA: 1959-2016,
BESTSELLING NONFICTION,
AKAs,
THE SILENT MOVIE ERA,
ALMA MATERS,
TITLE ANIMALS,
TEXTBOOKS,
THIS WEBSITE USES COOKIES,
GRADE THAT WORD,
ALMA MATTERS,
MUSIC TO YOUR EARS,
"WHERE YOU AT, SHAKESPEARE?",
"CROSSWORD CLUES ""N""",
HIDING IN PLAIN SIGHT,
"""GREEN"" STUFF",
COUNTIES OF CALIFORNIA,
YOU'RE SO POSSESSIVE!,
INFRASTRUCTURE,
BEATLES SONG TITLE REVERSALS,
#NAME?,
TV CAMPUS,
FILL IN THE ____,
AWFUL WORLD LEADERS,
THE ART OF WAR,
SOME OF YOUR BUSINESS,
TV SITCOM BY EPISODES,
WRITTEN IN 18-SOMETHING,
GOING DUTCH,
2 BY 4,
MOURNING ASSEMBLY,
A ROUND OF GULF,
PLANTS & FLOWERS,
PRO RUSSELL-ING,
DOUBLE VOWEL IN THE MIDDLE,
NATIONAL PORTRAIT GALLERY,
LET'S GO DODGERS!,
YOU'RE SUCH A HOMER,
SCHOOL'S OUT IN JUNE,
THE OSCAR-WINNING ROLE,
FROM B TO D,
FAMOUS SHIPS,
ALTERNATIVE FACTS,
WHAT'S THAT PLANET?,
TV FUNNY GUYS,
THE CLASSICS,
A ROCKY CATEGORY,
ORANGES,
"THE NEW ""BLACK""",
FINGER-SNAPPING TUNES,
IDIOMATIC PAIRS,
PAINTERS OF MOTION,
STATES' LARGEST LAKES,
LOGO ANIMALS,
19th CENTURY BRITISH AUTHORS,
OCCUPATIONS IN NEWS,
BEHIND THE BIBLICAL NAME,
OTHER BRITISH ISLES,
THE 1910s,
WINNING THROUGH ALLITERATION,
OCCUPATIONS IN THE NEWS,
THE PLAYS OF NEIL SIMON,
"THE ""I""s HAVE IT",
SEOUL MAN & WOMAN,
LYRICAL SPELLING BEE,
THE CIVIL WAR ERA,
HOPE-POURRI,
BEASTLY VERBS,
BIBLE STUDY,
WHAT'S THE SCORE?,
CHINESE CUISINE,
THIS IS 40,
MUSICALLY TITLED LIT,
BIOPIC SUBJECTS,
GUYS MAKIN' STUFF,
LONG NONSTOP FLIGHTS,
"THIS IS 5-""D""",
HOUSEHOLD VOCABULARY,
I USED TO RUN THE PLACE,
GET SOME EXERCISE!,
"SPEAKING ""FRENCH""",
SHAKESPEARE BUFFS,
"SPELLING ""BEE""",
THE MANCUNIAN,
CANDIDATE,
SOCIAL & SPORTS BARRIERS,
MAJOR LEAGUE BASEBALL TEAM NICKNAMES,
BREAK FA*ST,
CEREALS,
LANDMARK'S THE SPOT,
"YOU CAN CALL ME ""AL""",
THE 4th CENTURY,
SONG/BOOK,
BUSINESS NAMES,
HISTORICAL FICTION,
"ORIGINAL ""SIN""",
THE NAISMITH MEMORIAL BASKETBALL HALL OF FAME,
PLAY DOUGH,
HOUSES OF WORSHIP,
REAL PEOPLE IN SONG,
THE ELEMENT,
OF SURPRISE,
BRITISH KINGS,
"""A"" IN THE LAW",
THE SPORTING LIFE,
DISTRICTS,
DIFFERING BY ONE LETTER,
LITERARY CHARACTER MASHUP,
THE PLAYS OF JEAN RACINE,
"""BAD"" ENTERTAINMENT",
STRIKE!,
THE IRON IS HOT,
1817,
STYLES OF COUNTRY MUSIC,
THE ARMED FORCES,
DESIGN & ARCHITECTURE,
CLASSIC CHILDREN'S BOOKS,
COLLEGE HIJINKS,
BIBLICAL PAIRS,
SIMILES,
ENTERTAINING FRUITS & VEGETABLES,
"""STAN"" BY ME",
"CHARLIE BROWN, THIS IS YOUR LIFE",
WATCH OUT FOR SPIDERS,
"""NME""s LIST",
A HERO,
AIN'T NOTHING BUT A SANDWICH,
JUST JOSHING,
MINORITY REPORT,
RECENT OSCAR WINNERS,
VEEP,
TV WORKPLACES,
EAST ON THE MAP,
1971's COSMO GIRL'S GUIDE TO THE NEW ETIQUETTE,
YOU'RE FIRED FROM THE MOVIE!,
SUPERSTITION,
A LONG TIME AGO IN AMERICA,
THE CONDEMNED MAN,
"LAST ""-IEL""",
FAIRY TALE ANIMALS,
"CROSSWORD CLUES: ""L""",
RECENT PLAYS,
BRITISH FASHION HISTORY,
FAMOUS DOUGLASES,
WE'RE GIVING YOU A COMMISSION,
GOOD SOURCES OF CALCIUM,
AUTHORS' INITIALS,
10-LETTER VERBS,
THE GAME IS RIGGED,
RETURN TO THE MOVIES,
BLOWIN' IN THE WIND,
TANGLED UP IN BLUE,
"IT'S ALRIGHT, MA (I'M ONLY BLEEDING)",
THINGS HAVE CHANGED,
"FOREVER ""YOUNG""",
BOB DYLAN,
SHAKESPEARE TITLES,
BOYS IN THE BAND,
FDR,
"""TRUE"" OR ""FALSE""",
BOOKS OF THE '80s,
APRIL,
1867,
HOLIDAY FOODS,
PLACES IN CONTINENTS,
A WOMEN'S CATEGORY,
"RADIO, RADIO",
I'VE GOT 3 NAMES,
INSTRUMENTAL SONG TITLES,
WORDS IN CONTINENTS,
OSCAR WINNERS,
SEUSS SYNOPSIZES HIMSELF,
OLD SCHOOL,
A BUCKET LIST,
WORLD HERITAGE SITES,
SYNONYMS FOR COLD,
NET FLICKS,
"POKEY, MAN, GO",
GENRES,
SCOT-POURRI,
SCULPTORS & STATUORS,
A-M,
LITERARY REFERENCES,
OREGONIANS,
FOREIGN DIRECTORS,
NATIIONAL PARKS,
PORTUGUESE HISTORY,
BAGELS,
MOOD MUSIC,
"5 OF 7 DEADLY SINS, IN SOME FORM",
SURPRISE!,
HE PLAYED CHURCHILL,
BAD-WORLD BOOKSHELF,
"""X"" NOUNS",
ENTREPRENEURS,
"""N"" THE MAP",
"LYRE, LYRE",
PANTS ON FIRE,
AT THE OPERA,
WOODY,
"BRING YOUR ""EI"" GAME",
FREQUENTLY BANNED BOOKS,
NATIONS OF THE WORLD,
MARY TYLER MOORE,
YOU'RE GONNA MAKE IT,
"AFTER ""ALL""",
THIRD PARTY PRESIDENTIAL CANDIDATES,
UNDERWATER,
MARVEL MOVIE MAGIC,
"WE ""LOVE"" TO READ",
20th CENTURY TRANSPORTATION,
A REAL NUT JOB,
VISUAL ART,
CONFUCIUS SAID,
A SPARKLE QUIZ,
ISLANDS ON THE SCREEN,
"THAT IS WHAT WE ""R""",
BRIT LIT,
YOUR MAMA!,
SPORTS TRADITIONS,
BY DEGREES,
ALSO IN THE SHAKESPEARE PLAY,
ZOOLOGIST'S DICTIONARY,
ITALIAN COMPOSERS,
THE WOMAN IN THE MOVIE,
"FILE UNDER ""OZ""",
SHAKA,
WHEN THE WALLS FELL,
LANDLOCKED COUNTRY NAMES,
BIG & SMALL SCREEN DOCTORS,
THOREAU-ING A 200th BIRTHDAY!,
A PODCAST OF CHARACTERS,
"GIVE ME 5 ""CC""s",
STAT!,
THE PITTSBURGH ADDRESS,
GEOG. DICT. ABBREV.,
TURN ON YOUR HEAVY METAL DEFECTOR,
KABOOM!,
BIBLICAL BEFORE & AFTER,
WE'RE TALKING BASEBALL,
AVIAN POETRY,
WEBBY AWARD WINNERS,
ARGUMENT,
"""-ED"" HOMONYM",
THEIR GAME SHOW HOST GIGS,
HOW INVENTIVE,
IT'S IOWA-ADJACENT,
THAT'S THE SPIRIT!,
"""M""PORTANT PAINTERS",
A DAY AT THE HORSE RACES,
PLASTICS,
SCHOOLS ON SCREENS,
JIMI HENDRIX,
JOURNALING JOURNEYERS,
"""O"" YES!",
THE REIGN IN SPAIN,
FALLS,
MAINLY ON THE PLANE,
DEADLY CREATURES,
MAGAZINE SLOGANS,
TAILS OF THE SOUTH PACIFIC,
STATELY SONGS,
AN OO SOUND,
ICE CREAM COHENS,
OXYMORONS,
WHICH WITCH MOVIE?,
CONGRESSIONAL COMMITTEE CHAIRS,
"""G"", WE LOVE ART",
THE NAME OF THE WIND,
THE WISE MAN'S FEAR,
20th CENTURY FAMOUS NAMES,
CELEBRITY AUTOBIOGRAPHIES,
INTERNATIONAL BUSINESS,
FLOWERS & TREES,
ANIMALS IN LITERATURE,
IN THE NEWS: 2017,
THEY'RE WITH THE BAND,
FAMILIAL PHRASES,
"DOWN TO A ""SCIENCE""",
IT'S NATIONAL HOT DOG MONTH,
PICTURE THE SCIENTIST,
LASSIE,
LITERARY THREESOMES,
WE USED TO MAKE THAT CAR,
"TELL ME ""Y""",
HISTORIC EVENTS,
PARTS OF SPEECH... IN SONG!,
A PSYCHOTIC EPISODE,
"GETTING GEOGRAPHICA""L""",
HISTORICAL CHESS PIECES,
OUR ANCIENT RELATIVES,
THE COMPOSER PORTRAYED,
STAMP COLLECTING,
"""MENT"" GARNISH",
THE 21st CENTURY,
STRAIGHT FROM THE KING JAMES BIBLE,
FAMOUS LEFTIES,
WEST VIRGINIA,
COLLEGE STADIUMS & ARENAS,
THE KITCHEN LIBRARY,
CONSONANT CRAVING,
UNCLE SUGAR,
CARD PLAYER'S VOCABULARY,
ANCIENT COINS,
BANG THAT TAMBOURINE!,
FAKE NEWS,
THE U.S. OF ATTRACTIONS,
THE PERKS OF AGING,
SHOE NAMES,
FIRST FAMILY FUN & FOLLIES,
"DOUBLE ""P"" WORDS",
ANIMAL FARM,
HISTORIC INSULTS,
20th CENTURY WORDS,
COLLEGES,
YOU BUG ME,
____ & ____,
WHO WROTE THE LINE?,
ADULT BEVERAGES,
BAWLERS,
ALL THE DAYS OF ITALY,
THE EMPIRE STRIKES OUT,
THE MUSICAL '70s,
"""J""EOPARDY!",
STATUARY HALL: THE STATE REPRESENTED,
DIPLOMATIC DICTIONARY,
THE DIRECTOR'S CUT,
WHO WROTE IT?,
N*P*R,
ENGLISH MUFFINS,
CROOKS & NANNIES,
LUCKY 13th CENTURY,
BEE WORDS,
ELECTIONS IN CANADA,
"A TALE OF ""NEW"" CITIES",
BRITANNICA BYLINES,
LYRICS FROM BROADWAY,
PENNANTS,
THE JOLLY ROGER,
"THE ""STAR""S & ""STRIPE""S",
TRY COLOR,
"THE UNION, JACK",
THE LITERARY DR. PHIL SHOW,
THE BRIDGE & TUNNEL CROWD,
ROCK & ROLL HALL OF FAMERS BY HIT,
LET'S ALL GO TO THE LIBRARY,
STAR TREK ALIENS,
CANDIES & CONFECTIONS,
1995,
COLLEGE HODGEPODGE,
BIRTHPLACES,
WATER,
"""LAND""",
CATTLE,
IRELAND,
SOUTHEAST ASIA,
ACCORDING TO PEOPLE,
COOKING CLASS,
EASY MATH,
BIBLE LOCALES,
HISTORICAL NOVELS,
OH THOSE OTTOMANS,
SECOND PLACE,
THIRD WORLD,
FOURTH ESTATE,
FIFTH DIMENSION,
SIXTH SENSE,
ACTORS,
THE '80S,
ROCK 'N ROLL EDIBLES,
THOMAS JEFFERSON,
HYPHENATED NAMES,
RED,
COTTON,
HISTORIC FIGURES,
ANCIENT GREEK SCIENCE,
THE MOVIE INDUSTRY,
NO. 1 HITS OF THE '60s,
2—LETTER WORDS,
OSCAR WILDE,
U.S. BUILDINGS,
CLAM UP,
3 OF A KIND,
"""LIKE"" A SONG",
IT'S AN INTERJECTION!,
THE SUMMER OF LOVE: 1967,
THEIR FIRST PUBLISHED NOVEL,
MOVIE QUEENS,
THE ORIENT EXPRESS,
IT'S IN INTERJECTION,
BUSINESSMEN,
ANIMATED FELINES,
GOVERNMENT FOLKS WITH 2 FIRST NAMES?,
STOCK SYMBOLS ON THE DOW,
THE 14th CENTURY,
IRISH STEW,
2017 BILLBOARD HITS,
"""PEN"" PALS",
THE STATE OF LITERATURE,
GLOBAL ORGANIZATIONS,
MEN IN HATS,
RIGHT ON Q,
SONNETS,
BRAND NAME MEANINGS,
SUPER BOWL HALFTIME SHOWS,
DITLOIDS,
THE REVOLUTION,
IT'S A WIRED WORLD,
ORCHESTRA,
FISHY CINEMA,
TRANSYLVANIA,
"""VEL""COME",
POTENT & NONPOTENT POTABLES,
TIME FOR A DRINK,
ANIMALS WITH BEASTLY NAMES,
OMAR'S COMIN'!,
I'M NO QUITTER,
BELLY UP TO THE ZANZIBAR,
A JOINT EFFORT,
THAT'S ENTERTAINMENT,
"""GEO"" PARTY",
I'M NO ACQUITTER,
ENTERTAINMENT AWARDS,
MISREMEMBERED HARRY POTTER BOOK TITLES,
"""O"" YES, OPERA!",
SPORTS ABBREV.,
DEFINING OUR RELATIONSHIP,
LET'S SET SOME BOUNDARIES,
LET'S PLAY CHESS,
CLASSIC MOVIE LINES,
IPOs,
"FROM ""S"" TO ""T""",
DEEP UNDERGROUND,
HIGH ABOVE THE EARTH,
COUNTY SEATS,
CIVIL WAR PEOPLE,
WAYS TO SAY YOU'RE SORRY,
ABSURDIST LIT,
GOING 24/7/365,
"""WORLD"" OF ENTERTAINMENT",
THE NORTHEASTERN U.S.,
LITERA-CHURCH,
SILENT-LETTER VOCABULARY,
MELLOW FELLOWS,
PSYCHIC JEOPARDY!,
NATIONAL GEOGRAPHIC'S MUST SEE PLACES FOR 2017,
"""OLD"" MOVIES",
IS THAT A THING?,
MARS,
VENUS,
20th CENTURY WORLD LEADERS,
WELCOME TO LOS ANGELES,
TIMELY TALK,
CLASSIC POP,
A KING JAMES BIBLE,
THEIR MARRIED NAMES,
PLAQUE BUILDUP,
CALCULUS,
DENTAL PROBLEMS,
AMERICAN PLAYS,
MOST INSTAGRAMMED PLACES BY STATE,
SCHOOLED!,
ROUND HOUSE,
AUSSIE SLANG,
"""B""USINESS",
"BROADWAY, BABY",
19th CENTURY WOMEN AUTHORS,
YOUR FILM & TV WAIT STAFF,
PRESIDENTS BORN WEST OF THE MISSISSIPPI,
"""UR"" THE TOP!",
STATES BY COLORFUL LOCALES,
"THIRD TIME'S A ""CHA'""RM",
LAW SLAW,
TRANSLATE THE NOTED PAIR,
CLASSICS ON AUDIBLE,
SOMETHING ABOUT MARY,
"ENDS IN ""ING""",
FOODS FOR THOUGHT,
"CHECK, PLEASE",
NAUGHTY BY NATURE,
BOND BOMBSHELLS,
HISTORICAL AREAS,
EXPLORING THE WORLD,
2017 MOVIE TAGLINES,
"CHURCHILL, FDR OR STALIN",
THE WRITING STUFF,
THE NEWSPAPER GAME,
IN DISPENSABLE,
A KNIGHT,
20th CENTURY NOVELS,
TV SITCOMS BY MOM,
THEY'RE HISTORY!,
ACC SCHOOLS,
B OFF!,
CARVE OUT,
A PLACE FOR YOURSELF,
GOING TO THE MATTRESSES,
THERE'LL ALWAYS BE AN ENGLAND,
POWER TO THE PAPAL,
"""AU""THORS",
VISUAL VOCABULARY,
THE INUIT,
MEN & WOMEN OF LETTERS,
OUT-OF-DATE TV TITLES,
"ALL THE ""BEST""",
THE END IS NEAR,
"HELLO, DOLLY!",
EIGHTYSOMETHING,
STARTS OR ENDS WITH A TREE,
THAT CRAZY 14th CENTURY,
BE A SMART PATIENT,
"GEOGRA""P""",
"HELLO, DOLLY PARTON!",
MOVIE HISTORY,
RICKENBACKER GUITARS,
COUNTRIES' OFFICIAL LANGUAGES,
COMPLETES THE OLD TESTAMENT QUOTE,
STOCKING THE CABINET DEPARTMENT,
"""DED"" END",
TIME'S 100 MOST INFLUENTIAL PEOPLE 2017,
OCTOBER OCCURRENCES,
"""THE"" MOVIE",
ALSO A FRIENDS CHARACTER,
NEWBERY MEDAL WINNERS,
"AT THE ""M""PORIUM",
CAUGHT,
WITH YOUR HAND,
IN THE COOKIE JAR,
BIOPICS OF BRITS,
NON -IA COUNTRIES,
THE HISTORY BOOKSHELF,
PHRASES LITERALLY TRANSLATED,
BIG BUSINESS,
GREAT PLACES TO PROPOSE,
ALSO AN APPLE VARIETY,
THEY WENT TO OXFORD,
HAIL! HAIL! CHUCK BERRY,
BOOK-POURRI,
IF THE HYPHEN BECOMES A LETTER,
INTERNATIONAL INSTRUMENTS,
X ABBREVIATIONS,
THE HOLY ROMAN EMPIRE,
WATERWORKS,
THE ELECTRIC COMPANY,
HISTORIC CONNECTIONS,
"HISTORY, WITH SOUND EFFECTS",
FOOD TALK,
STATE OF THE UNION HEADQUARTERS,
PLAY THE JOKER,
"ENDS IN ""EE""",
SALT BAY,
PHILOSOPHY IN A NUTSHELL,
"AN ""L"" OF A TEAM",
BIRDS OF A FEATHER,
REMEMBER THE...,
RUINING THE RUMORS,
"DECADE, PLEASE",
ALL ARE INVITED,
HOW TO BE A LATIN LOVER,
SONGS ON LIP SYNC BATTLE,
REAL PEOPLE ON QUARTERS,
WORLD OF TELESCOPES,
OLD POETS' NICKNAMES,
AFTER DINNER,
THE GIRL WITH THE DRAGON,
TATTOO,
"YOU GOT SOME REAL BIRTHSTONES, MAN",
LA LA LAND,
MODERN LINGO,
THAT MOVIE HAD NO SEQUEL,
1970s ALBUMS,
"""T""4",
THE TILLERSON,
WOLVERINE,
"""ANT"", MAN",
AVENGERS,
CAP,
MARVEL,
"""Z"" GRADE ENTERTAINMENT",
A CONSTITUTIONAL VOCABULARY,
THE STATE'S SECOND-LARGEST CITY,
YOU HAVE ME AT A LOSS,
19th CENTURY LITERATURE,
TV TEENS,
ENGLISH GRAMMAR,
"EEW, GROSS!",
ELECTION '92,
THE HANDMADE TALE,
MUSICALS' OPENING NUMBERS,
ALPHABET SOUP WHEN YOU'RE SICK,
"""HOLD"" GLORY",
OUT ON THE TOWN IN THE 1600s,
"IDIOMS, ANNOTATED",
"""R"" MOVIES",
"THANK YOU, SENATOR",
AN EXCELLENT QUESTION,
I TAKE THE FIFTH,
CAPITAL BIRTHPLACES,
"""X""CELLENT 9-LETTER WORDS",
RECYCLOPEDIA,
THE CIA,
B.C. PLACES,
OPHTHALMOLOGY,
"""FUSION""",
STARS' INITIAL SHOWS,
WRITERS WHO SELF-PUBLISHED,
NOT YOUR EVERYDAY WORDS,
DR. JOHNSON'S ALPHABET,
"""B"" A SPORT",
THAT'S OUR COLOR,
TINDER,
SWIPE WRITE,
THE DREADED OPERA CATEGORY,
MOVIE & TV DEATHS,
KICKING AXIS,
BRANCHES OF SCIENCE,
OVERLAPS,
LANDLOCKED COUNTRIES,
RUSSIAN INVOLVEMENT,
"EMMY, GRAMMY, OSCAR, TONY",
WORDS FROM NATIVE AMERICAN LANGUAGES,
SWEET STUFF,
"GIVE US THE ""____ING"" TITLE!",
BROADWAY 2017,
BOATS & SHIPS,
BLAME IT ON THE SUPERNOVA,
REDUNDANT GEOGRAPHY,
"YOU'LL STOP AT ""NOTHING""",
19th CENTURY POETS,
WORDS WITH ENEMIES,
TOP BABY NAMES IN BRITAIN,
"""N"" TITLED TO LITERATURE",
ITALIAN FOOD,
MANGA,
SATISFYING ALL YOUR INSURANCE NEEDS,
THE SILVER SCREEN,
WHERE & WHEN?,
MECHANICS,
A SHOWER OF SCHOPENHAUER,
MAKING WORDS,
THE GREAT DEPRESSION,
UNSCRIPTED TV,
"FRUIT, NOT FRUIT",
INNOVATIONS,
FRENCH DIP,
"REPUBLIC ""-AN""s",
IN THE YEAR 1017,
SCIENCE FICTION,
PLAYING MIDDLE C,
INDIAN AMERICANS,
MOVIEMAKER'S MASHUP,
MEET YOUR AUTOMAKER,
SENATOR JOHN,
FASHION: 1900 TO 1950,
"""M"" TV SHOWS",
COLORFUL AMERICAN CITIES,
PRECIOUS TIME,
WIDOWS IN THE BIBLE,
HIDDEN FIGURES,
THE JOY OF SLUGS,
YOU KNOW WHAT THEY SAY,
CURRENT EVENTS,
CHEESY NAME ORIGINS,
"LOVE SONGS, NOTHING BUT '80s LOVE SONGS",
GULP FICTION,
"PLACE ""MAT""S",
PICK A POPE,
FIRST-TIME RESPONSES,
ANIMAL FACTS,
OLD MOVIES,
BLACK INVENTORS,
"""HANG"" TIME",
ANTONY & CLEOPATRA,
FINANCE,
ITALIAN MENU,
"FILE UNDER ""W""",
INVENTORS HALL OF FAME,
COURTROOM DRAMAS,
HISTORIC PAIRS,
KEEP IT DOWN,
RANKING THE NEW MILITARY MAN,
THINK PINK,
WET SCIENCE,
A MANIA FOR MANIAS,
MAJOR THIRDS IN MUSIC,
"RUSSIA ""N""",
GERMAN GEOGRAPHY,
PICK A PLANET,
TIME TO SAY GOODBYE,
COLD PLACES,
KNOTTY BY NATURE,
ONOMATOPOEIA,
TWO-DIMENSIONAL PEOPLE,
MADE IN THE USA,
BILL'S BILL OF RIGHTS RIGHTS,
DETECTIVE FICTION,
PENCIL IT IN,
TEAM MASCOTS,
"ALL ""IZE"" ON YOU",
THE EUROPEAN MIDWEST,
HOW MANY IN YOUR PARTY?,
THEY PLAYED JFK,
"""P"" IN PHYSICS",
THE 300+,
THIS...WAS...SPARTA!,
NOVEL TITLE CHARACTERS,
THE FOOD CHAIN,
STATELY BODIES OF WATER,
HAMMER,
FROM B TO C,
I SING THE BODY,
ELECTRIC,
ASIAN CULTURE,
STATE DEPARTMENT HISTORY,
WRITERS & WRITING,
FOSSIL FUELS,
STAGE NAME'S THE SAME,
PRIMETIME TV ACTRESSES,
DOGS IN HATS,
THAT'S SOME SHAMELESS PANDERING,
WHERE & WHEN,
BEST SHORT FILM OSCARS,
RECENT KIDS' BOOKS,
"MERCURY, VENUS OR MARS",
20th CENTURY ART,
TV WATERING HOLES,
HOME SWEET HOME,
